id;date;vent_direction;vent_vitesse;humidite;pluie_12;pluie_24;temperature;point_rosee;hpa
7015;20190801120000;270;3.8;57;0;0;23.1;14.1;1011.7
7015;20190802120000;320;6;57;0;0;22.8;13.8;1011.9
7015;20190803120000;350;2.2;59;0;0;22.6;14.2;1013.9
7015;20190804120000;90;1.8;45;0;0;26.1;13.2;1009.3
7015;20190805120000;220;6.6;45;0;0;24.5;11.8;1006.2
7015;20190806120000;220;4.8;50;0;-0.1;22.2;11.3;1005.3
7015;20190807120000;240;7.7;50;-0.1;-0.1;23.2;12.2;1002.7
7015;20190808120000;210;3.7;66;0.4;0.4;21.7;15.1;1007.2
7015;20190809120000;180;5.5;80;6.4;6.6;23.9;20.2;1000
7015;20190810120000;220;10.4;43;0;0.2;23.4;10.1;1005.7
7015;20190811120000;210;6.1;53;0;0;19.8;9.9;1009.3
7015;20190812120000;260;4.4;84;3.8;3.8;16;13.3;1009.5
7015;20190813120000;220;6.2;71;0.4;2;16.6;11.3;1013.6
7015;20190814120000;190;6.4;61;0.2;0.2;19.5;11.8;1011.6
7015;20190815120000;240;8.2;75;3.6;7.8;19.4;14.9;1007.1
7015;20190816120000;200;7.2;52;0;0.6;21.9;11.6;1010
7015;20190817120000;200;6.7;78;0.2;0.8;20.9;16.9;1001.7
7015;20190818120000;240;6.7;74;11.9;12.5;19.1;14.4;1001.4
7015;20190819120000;250;9.8;57;0.6;0.6;19;10.3;1011.8
7015;20190820120000;260;6.1;49;0.2;0.2;20.9;9.8;1017.8
7015;20190821120000;170;1.6;43;0;0;21.6;8.5;1022.1
7015;20190822120000;260;3.1;42;0.2;0.2;24;10.3;1020.2
7015;20190823120000;100;1.6;39;0;0;25.3;10.3;1019.2
7015;20190824120000;90;3.1;35;0;0;28.9;11.9;1013.9
7015;20190825120000;80;1.6;36;0;0;30.5;13.7;1012.9
7015;20190826120000;80;2.2;33;0;0;31.4;13.2;1012.3
7015;20190827120000;130;2.7;32;0;0;32.8;13.9;1008.6
